사고유형대분류,사고유형중분류,사고유형,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,13725,432,6140,7258,676
차대사람,차도통행중,차도통행중,3551,126,1358,1886,306
차대사람,길가장자리구역통행중,길가장자리구역통행중,2074,28,599,1318,209
차대사람,보도통행중,보도통행중,2260,23,686,1437,233
차대사람,기타,기타,14737,273,4643,8961,1603
차대차,추돌,추돌,30745,343,6590,43616,3246
차대차,기타,기타,44496,248,9702,49558,4960
차대차,충돌,충돌,76795,517,18660,88876,7041
차량단독,충돌,충돌,2588,271,1221,1421,542
차량단독,도로이탈,도로이탈 추락,311,58,166,130,42
차량단독,도로이탈,도로이탈 기타,135,8,70,67,24
차량단독,기타,기타,4023,98,1367,2380,577
차량단독,전도/전복,전도/전복,907,94,351,363,199
철길건널목,철길건널목,철길건널목,2,2,0,0,0
